path_to_object,mo_name,Parametr_id,value
PLMN-PLMN/MRBTS-190009/LNBTS-190009,LNBTS,actLBPowerSaving,false
PLMN-PLMN/MRBTS-190009/LNBTS-190009/LNCEL-1921,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-190009/LNBTS-190009/LNCEL-1922,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-190009/LNBTS-190009/LNCEL-1923,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-190005/LNBTS-190005,LNBTS,actLBPowerSaving,false
PLMN-PLMN/MRBTS-190005/LNBTS-190005/LNCEL-1912,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-190005/LNBTS-190005/LNCEL-1913,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-190005/LNBTS-190005/LNCEL-1914,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-311010/LNBTS-311010,LNBTS,actLBPowerSaving,false
PLMN-PLMN/MRBTS-311010/LNBTS-311010,LNBTS,actLBRTXPowerSaving,false
PLMN-PLMN/MRBTS-311010/LNBTS-311010/LNCEL-13,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-311010/LNBTS-311010/LNCEL-13,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-311010/LNBTS-311010/LNCEL-14,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-311010/LNBTS-311010/LNCEL-14,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-311010/LNBTS-311010/LNCEL-15,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-311010/LNBTS-311010/LNCEL-15,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-920087/LNBTS-920087,LNBTS,actLBPowerSaving,false
PLMN-PLMN/MRBTS-920087/LNBTS-920087,LNBTS,actLBRTXPowerSaving,false
PLMN-PLMN/MRBTS-920087/LNBTS-920087/LNCEL-1,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-920087/LNBTS-920087/LNCEL-1,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-920087/LNBTS-920087/LNCEL-2,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-920087/LNBTS-920087/LNCEL-2,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-920087/LNBTS-920087/LNCEL-29,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-920087/LNBTS-920087/LNCEL-29,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-920087/LNBTS-920087/LNCEL-3,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-920087/LNBTS-920087/LNCEL-3,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-920087/LNBTS-920087/LNCEL-30,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-920087/LNBTS-920087/LNCEL-30,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-920087/LNBTS-920087/LNCEL-31,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-920087/LNBTS-920087/LNCEL-31,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-920087/LNBTS-920087/LNCEL-7,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-920087/LNBTS-920087/LNCEL-7,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-920087/LNBTS-920087/LNCEL-8,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-920087/LNBTS-920087/LNCEL-8,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-920087/LNBTS-920087/LNCEL-9,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-920087/LNBTS-920087/LNCEL-9,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-340189/LNBTS-340189,LNBTS,actLBPowerSaving,false
PLMN-PLMN/MRBTS-340189/LNBTS-340189,LNBTS,actLBRTXPowerSaving,false
PLMN-PLMN/MRBTS-340189/LNBTS-340189/LNCEL-1,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-340189/LNBTS-340189/LNCEL-2,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-340189/LNBTS-340189/LNCEL-3,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-311052/LNBTS-311052,LNBTS,actLBPowerSaving,false
PLMN-PLMN/MRBTS-311052/LNBTS-311052,LNBTS,actLBRTXPowerSaving,false
PLMN-PLMN/MRBTS-311052/LNBTS-311052/LNCEL-13,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-311052/LNBTS-311052/LNCEL-13,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-311052/LNBTS-311052/LNCEL-14,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-311052/LNBTS-311052/LNCEL-14,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-311052/LNBTS-311052/LNCEL-15,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-311052/LNBTS-311052/LNCEL-15,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-311052/LNBTS-311052/LNCEL-29,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-311052/LNBTS-311052/LNCEL-29,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-311052/LNBTS-311052/LNCEL-30,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-311052/LNBTS-311052/LNCEL-30,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-311052/LNBTS-311052/LNCEL-31,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-311052/LNBTS-311052/LNCEL-31,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-311330/LNBTS-311330,LNBTS,actLBPowerSaving,false
PLMN-PLMN/MRBTS-311330/LNBTS-311330,LNBTS,actLBRTXPowerSaving,false
PLMN-PLMN/MRBTS-311330/LNBTS-311330/LNCEL-13,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-311330/LNBTS-311330/LNCEL-13,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-311330/LNBTS-311330/LNCEL-14,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-311330/LNBTS-311330/LNCEL-14,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-311330/LNBTS-311330/LNCEL-15,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-311330/LNBTS-311330/LNCEL-15,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-311188/LNBTS-311188,LNBTS,actLBPowerSaving,false
PLMN-PLMN/MRBTS-311188/LNBTS-311188,LNBTS,actLBRTXPowerSaving,false
PLMN-PLMN/MRBTS-311188/LNBTS-311188/LNCEL-1,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-311188/LNBTS-311188/LNCEL-1,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-311188/LNBTS-311188/LNCEL-2,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-311188/LNBTS-311188/LNCEL-2,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-311188/LNBTS-311188/LNCEL-3,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-311188/LNBTS-311188/LNCEL-3,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-311076/LNBTS-311076,LNBTS,actLBPowerSaving,false
PLMN-PLMN/MRBTS-311076/LNBTS-311076,LNBTS,actLBRTXPowerSaving,false
PLMN-PLMN/MRBTS-311076/LNBTS-311076/LNCEL-13,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-311076/LNBTS-311076/LNCEL-13,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-311076/LNBTS-311076/LNCEL-14,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-311076/LNBTS-311076/LNCEL-14,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-311076/LNBTS-311076/LNCEL-15,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-311076/LNBTS-311076/LNCEL-15,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-330080/LNBTS-330080,LNBTS,actLBPowerSaving,false
PLMN-PLMN/MRBTS-330080/LNBTS-330080,LNBTS,actLBRTXPowerSaving,false
PLMN-PLMN/MRBTS-330080/LNBTS-330080/LNCEL-13,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-330080/LNBTS-330080/LNCEL-13,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-330080/LNBTS-330080/LNCEL-14,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-330080/LNBTS-330080/LNCEL-14,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-330080/LNBTS-330080/LNCEL-15,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-330080/LNBTS-330080/LNCEL-15,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-330080/LNBTS-330080/LNCEL-29,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-330080/LNBTS-330080/LNCEL-29,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-330080/LNBTS-330080/LNCEL-30,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-330080/LNBTS-330080/LNCEL-30,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-330080/LNBTS-330080/LNCEL-31,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-330080/LNBTS-330080/LNCEL-31,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-340096/LNBTS-340096,LNBTS,actLBPowerSaving,false
PLMN-PLMN/MRBTS-340096/LNBTS-340096,LNBTS,actLBRTXPowerSaving,false
PLMN-PLMN/MRBTS-340096/LNBTS-340096/LNCEL-13,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-340096/LNBTS-340096/LNCEL-13,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-340096/LNBTS-340096/LNCEL-14,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-340096/LNBTS-340096/LNCEL-14,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-340096/LNBTS-340096/LNCEL-15,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-340096/LNBTS-340096/LNCEL-15,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-311232/LNBTS-311232,LNBTS,actLBPowerSaving,false
PLMN-PLMN/MRBTS-311232/LNBTS-311232,LNBTS,actLBRTXPowerSaving,false
PLMN-PLMN/MRBTS-311232/LNBTS-311232/LNCEL-1,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-311232/LNBTS-311232/LNCEL-1,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-311232/LNBTS-311232/LNCEL-2,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-311232/LNBTS-311232/LNCEL-2,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-311232/LNBTS-311232/LNCEL-29,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-311232/LNBTS-311232/LNCEL-29,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-311232/LNBTS-311232/LNCEL-3,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-311232/LNBTS-311232/LNCEL-3,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-311232/LNBTS-311232/LNCEL-30,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-311232/LNBTS-311232/LNCEL-30,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-311232/LNBTS-311232/LNCEL-31,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-311232/LNBTS-311232/LNCEL-31,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-340077/LNBTS-340077,LNBTS,actLBPowerSaving,false
PLMN-PLMN/MRBTS-340077/LNBTS-340077,LNBTS,actLBRTXPowerSaving,false
PLMN-PLMN/MRBTS-340077/LNBTS-340077/LNCEL-1,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-340077/LNBTS-340077/LNCEL-1,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-340077/LNBTS-340077/LNCEL-2,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-340077/LNBTS-340077/LNCEL-2,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-340077/LNBTS-340077/LNCEL-3,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-340077/LNBTS-340077/LNCEL-3,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-310991/LNBTS-310991,LNBTS,actLBPowerSaving,false
PLMN-PLMN/MRBTS-310991/LNBTS-310991,LNBTS,actLBRTXPowerSaving,false
PLMN-PLMN/MRBTS-310991/LNBTS-310991/LNCEL-13,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-310991/LNBTS-310991/LNCEL-13,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-310991/LNBTS-310991/LNCEL-14,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-310991/LNBTS-310991/LNCEL-14,LNCEL,ulCacIgnore,false
PLMN-PLMN/MRBTS-310991/LNBTS-310991/LNCEL-15,LNCEL,energySavingState,notEnergySaving
PLMN-PLMN/MRBTS-310991/LNBTS-310991/LNCEL-15,LNCEL,ulCacIgnore,false
